Time,T1 Type: Temperature,H1 Type: Humidity,S1 Type: Sound,P1 Type: Pressure,P2 Type: Pressure,T2 Type: Temperature,L1 Type: Light,L2 Type: Light,T3 Type: Temperature
Aug 13 14:30:20 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:21 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:22 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:23 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:24 2024,1.000,2.000,2.320,4.300,45.000,32.000,21.000,0.001,0.100
Aug 13 14:30:25 2024,0.961,1.929,2.381,4.279,45.162,32.067,21.001,0.001,0.100
Aug 13 14:30:26 2024,1.054,1.926,2.169,4.278,45.140,32.342,20.788,0.040,0.319
Aug 13 14:30:27 2024,1.179,1.839,2.318,4.114,45.335,32.289,20.616,-0.112,0.093
Aug 13 14:30:28 2024,0.990,1.856,2.343,4.104,45.228,32.530,20.537,-0.357,0.093
Aug 13 14:30:29 2024,0.884,1.786,2.145,4.252,45.155,32.461,20.759,-0.680,-0.361
Aug 13 14:30:30 2024,0.713,1.726,2.327,4.248,45.099,32.561,20.494,-0.857,-0.305
Aug 13 14:30:31 2024,0.632,1.570,2.251,4.126,45.275,32.897,20.844,-0.522,0.002
Aug 13 14:30:32 2024,0.613,1.732,2.158,4.459,45.151,32.876,21.033,-0.417,0.246
Aug 13 14:30:33 2024,0.594,2.145,2.028,4.327,45.116,32.874,21.366,-0.418,0.170
Aug 13 14:30:34 2024,0.818,2.173,2.086,4.693,44.906,32.770,21.431,-0.232,0.326
Aug 13 14:30:35 2024,1.062,1.921,2.122,4.791,45.118,32.876,21.485,-0.337,0.326
Aug 13 14:30:36 2024,0.942,1.970,2.357,4.787,45.309,32.826,21.583,-0.438,0.300
Aug 13 14:30:37 2024,0.662,1.970,2.357,4.787,45.309,32.826,21.583,-0.438,0.300
Aug 13 14:30:38 2024,0.830,2.024,2.235,4.917,45.161,32.981,21.029,-0.567,0.218
Aug 13 14:30:39 2024,1.066,2.058,2.338,4.887,45.293,32.681,20.998,-1.040,0.287
Aug 13 14:30:40 2024,1.067,2.286,2.260,4.765,45.285,32.300,21.049,-1.152,0.025
Aug 13 14:30:41 2024,0.788,2.287,2.403,4.593,45.161,32.177,20.906,-1.078,0.133
Aug 13 14:30:42 2024,0.723,2.162,2.594,4.810,45.260,32.244,20.870,-0.950,0.057
Aug 13 14:30:43 2024,0.627,2.177,2.531,4.810,45.260,32.244,20.870,-0.950,0.057
Aug 13 14:30:44 2024,0.665,2.082,2.732,4.854,45.163,32.127,20.517,-0.929,-0.194
Aug 13 14:30:45 2024,0.673,1.825,2.873,4.892,45.386,32.087,20.697,-0.754,0.055
Aug 13 14:30:46 2024,0.653,1.722,2.938,4.903,45.143,32.189,20.850,-0.744,0.013
Aug 13 14:30:47 2024,0.503,1.535,3.046,4.995,45.246,32.143,20.886,-0.569,0.013
Aug 13 14:30:48 2024,0.141,1.535,3.046,4.995,45.246,32.143,20.886,-0.569,0.013
Aug 13 14:30:49 2024,0.054,1.375,2.618,5.452,45.360,32.437,21.034,-0.191,-0.422
Aug 13 14:30:50 2024,-0.247,1.432,2.519,5.451,45.179,32.303,21.337,-0.011,-0.471
Aug 13 14:30:51 2024,-0.385,1.413,2.302,5.595,45.512,32.303,21.337,-0.011,-0.471
Aug 13 14:30:52 2024,-0.173,1.438,0.000,5.595,45.512,32.303,21.337,-0.011,-0.471
Aug 13 14:30:53 2024,-0.113,1.159,1.948,5.541,45.578,32.018,22.102,0.561,-0.498
Aug 13 14:30:54 2024,0.157,1.216,1.847,5.784,45.831,32.034,22.103,0.561,-0.498
Aug 13 14:30:55 2024,0.194,0.757,1.793,5.823,45.834,32.144,21.920,-0.030,-0.615
Aug 13 14:30:56 2024,0.216,0.758,2.100,5.576,45.736,32.269,21.957,-0.451,-0.813
Aug 13 14:30:57 2024,0.288,0.822,1.969,5.669,45.613,32.501,21.885,-0.621,-0.827
Aug 13 14:30:58 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:30:59 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:00 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:01 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:02 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:03 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:04 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:05 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:06 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:07 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:08 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:09 2024,0.301,0.906,1.771,5.333,45.726,32.630,22.069,-0.765,-0.616
Aug 13 14:31:10 2024,0.483,0.911,2.399,5.111,46.277,32.251,22.325,-0.608,-0.616
Aug 13 14:31:11 2024,0.483,0.911,2.399,5.111,46.277,32.251,22.325,-0.608,-0.616
Aug 13 14:31:12 2024,0.483,0.911,2.399,5.111,46.277,32.251,22.325,-0.608,-0.616
Aug 13 14:31:13 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:14 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:15 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:16 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:17 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:18 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:19 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:20 2024,0.606,0.873,2.494,5.340,45.869,32.137,22.664,-0.677,-0.241
Aug 13 14:31:21 2024,1.558,0.358,1.842,5.374,46.204,31.349,23.215,0.063,-0.087
Aug 13 14:31:22 2024,0.000,0.227,1.833,5.459,46.121,31.070,23.213,-0.073,-0.015
Aug 13 14:31:23 2024,1.676,0.228,1.821,5.508,45.941,31.088,23.414,-0.107,0.199
Aug 13 14:31:24 2024,1.768,0.281,1.685,5.369,46.015,31.138,23.310,-0.058,0.176
Aug 13 14:31:25 2024,1.731,0.258,1.392,5.336,45.978,31.011,23.216,0.214,0.064
Aug 13 14:31:26 2024,1.989,0.479,1.421,5.372,45.698,30.918,23.310,0.040,0.000
Aug 13 14:31:27 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:28 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:29 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:30 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:31 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:32 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:33 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:34 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:35 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:36 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:37 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:38 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:39 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
Aug 13 14:31:40 2024,2.206,0.208,1.200,5.146,45.374,30.574,23.161,0.264,0.378
