Time,T1 Type: Temperature,H1 Type: Humidity,S1 Type: Sound,P1 Type: Pressure,P2 Type: Pressure,T2 Type: Temperature,L1 Type: Light,L2 Type: Light,T3 Type: Temperature
Aug 09 17:56:46 2024,1.791,6.449,1.919,3.026,43.306,27.031,21.620,3.242,0.397
Aug 09 17:56:47 2024,1.698,6.322,1.591,2.937,43.260,26.811,21.666,3.280,0.320
Aug 09 17:56:48 2024,1.614,6.386,1.477,2.937,43.260,26.811,21.666,3.280,0.320
Aug 09 17:56:49 2024,1.467,6.218,1.171,2.827,43.278,26.767,21.930,3.118,0.542
Aug 09 17:56:50 2024,1.239,6.173,1.208,3.018,43.475,26.814,21.985,3.225,0.508
Aug 09 17:56:51 2024,1.170,6.265,1.266,3.018,43.475,26.814,21.985,3.225,0.508
Aug 09 17:56:52 2024,1.025,6.125,1.051,3.043,43.307,26.148,21.781,3.225,0.508
Aug 09 17:56:53 2024,0.895,6.125,1.051,3.043,43.307,26.148,21.781,3.225,0.508
Aug 09 17:56:54 2024,0.937,5.745,1.360,2.996,0.000,26.148,21.781,3.225,0.508
Aug 09 17:56:55 2024,0.825,5.875,1.359,3.149,43.221,26.519,21.652,2.937,0.200
Aug 09 17:56:56 2024,1.051,5.814,1.697,3.048,42.947,26.965,21.954,3.082,0.089
Aug 09 17:56:57 2024,1.114,5.784,1.678,2.979,42.822,26.953,21.896,2.986,-0.039
Aug 09 17:56:58 2024,1.154,5.855,1.720,3.106,42.859,26.965,22.001,3.010,0.235
Aug 09 17:56:59 2024,1.122,5.837,1.707,3.357,42.806,27.080,22.001,3.010,0.235
Aug 09 17:57:00 2024,1.585,6.039,1.756,3.225,43.015,27.488,21.768,3.018,0.127
Aug 09 17:57:01 2024,1.640,6.037,1.909,3.344,42.829,27.748,21.433,3.258,0.201
Aug 09 17:57:02 2024,1.640,6.037,1.909,3.344,42.829,27.748,21.433,3.258,0.201
Aug 09 17:57:03 2024,1.580,6.056,1.961,3.378,43.007,27.585,21.461,3.277,0.201
Aug 09 17:57:04 2024,0.019,6.056,1.961,3.378,43.007,27.585,21.461,3.277,0.201
Aug 09 17:57:05 2024,1.377,5.729,1.902,3.227,42.984,27.596,21.497,3.934,0.149
Aug 09 17:57:06 2024,1.032,5.782,1.865,3.087,42.728,27.755,21.290,3.879,0.124
Aug 09 17:57:07 2024,1.083,6.023,2.159,2.852,42.741,27.479,21.358,4.056,0.191
Aug 09 17:57:08 2024,1.090,6.016,2.149,2.651,42.886,27.223,21.564,4.055,-0.080
Aug 09 17:57:09 2024,1.413,5.818,2.429,2.752,43.065,27.070,21.857,3.924,0.217
Aug 09 17:57:10 2024,1.094,5.811,2.316,2.695,43.072,26.788,22.079,3.912,0.217
Aug 09 17:57:11 2024,0.935,5.824,2.326,2.818,43.224,26.745,22.047,3.925,0.217
Aug 09 17:57:12 2024,0.901,5.702,2.184,2.744,43.386,26.614,22.182,3.783,-0.057
Aug 09 17:57:13 2024,1.009,5.939,1.987,3.180,43.616,26.663,22.278,3.874,0.155
Aug 09 17:57:14 2024,0.830,5.901,2.051,3.178,44.089,26.388,22.242,3.840,0.047
Aug 09 17:57:15 2024,0.990,5.737,2.263,3.065,44.032,26.451,22.242,3.840,0.047
Aug 09 17:57:16 2024,1.011,5.910,2.345,2.722,44.173,26.389,22.371,3.782,0.047
Aug 09 17:57:17 2024,1.153,5.846,2.287,2.304,44.295,26.433,22.281,4.044,0.190
Aug 09 17:57:18 2024,1.298,5.976,2.445,2.338,44.133,26.560,22.538,4.220,0.152
Aug 09 17:57:19 2024,1.331,6.047,2.496,2.599,44.141,26.577,22.571,4.206,-0.057
Aug 09 17:57:20 2024,1.544,5.839,2.621,2.551,44.169,26.329,22.357,4.121,0.009
Aug 09 17:57:21 2024,1.797,5.839,2.937,2.617,43.886,26.560,22.373,4.276,-0.350
Aug 09 17:57:22 2024,2.012,6.006,2.600,2.619,44.038,26.370,22.499,4.285,-0.288
Aug 09 17:57:23 2024,1.892,5.724,2.411,2.848,44.073,26.370,22.499,4.285,-0.288
Aug 09 17:57:24 2024,1.839,6.051,2.221,2.613,43.935,26.446,22.405,4.556,0.024
Aug 09 17:57:25 2024,2.101,6.102,2.215,2.570,43.637,26.364,22.477,4.664,0.162
Aug 09 17:57:26 2024,2.361,6.383,2.174,2.704,43.669,26.620,22.335,4.718,0.296
Aug 09 17:57:27 2024,2.484,6.185,2.559,2.650,43.462,26.684,22.480,4.535,0.417
Aug 09 17:57:28 2024,2.563,6.015,2.630,2.443,43.545,26.491,22.289,4.564,0.379
Aug 09 17:57:29 2024,2.563,6.015,2.630,2.443,43.545,26.491,22.289,4.564,0.379
Aug 09 17:57:30 2024,2.350,5.923,2.411,2.431,43.761,26.451,22.250,4.784,0.341
Aug 09 17:57:31 2024,2.262,5.924,2.276,2.640,43.806,26.533,22.318,4.523,0.910
Aug 09 17:57:32 2024,2.199,5.445,2.003,2.829,43.849,26.554,22.560,4.368,0.950
Aug 09 17:57:33 2024,2.572,5.527,1.767,2.664,43.656,26.581,22.363,4.560,1.062
Aug 09 17:57:34 2024,2.684,5.542,1.940,2.905,43.258,26.527,22.406,4.419,1.030
Aug 09 17:57:35 2024,2.775,5.809,1.940,2.905,43.258,26.527,22.406,4.419,1.030
Aug 09 17:57:36 2024,2.730,5.757,1.938,2.785,43.419,26.684,22.089,4.544,1.366
Aug 09 17:57:37 2024,2.736,5.862,2.169,2.742,43.495,26.331,22.111,4.778,0.942
Aug 09 17:57:38 2024,2.857,5.749,2.208,2.626,43.337,26.294,22.309,4.676,0.749
Aug 09 17:57:39 2024,2.518,5.674,2.001,2.782,43.207,26.340,22.108,4.570,0.649
Aug 09 17:57:40 2024,2.825,5.765,2.045,2.694,43.113,26.292,21.808,4.749,0.774
Aug 09 17:57:41 2024,2.853,5.617,1.854,2.709,43.142,26.459,22.317,4.951,0.678
Aug 09 17:57:42 2024,2.981,5.588,2.062,2.753,43.287,26.567,22.043,5.059,0.811
Aug 09 17:57:43 2024,2.981,5.588,2.062,2.753,43.287,26.567,22.043,5.059,0.811
Aug 09 17:57:44 2024,2.981,5.588,2.062,2.753,43.287,26.567,22.043,5.059,0.811
Aug 09 17:57:45 2024,2.981,5.588,2.062,2.753,43.287,26.567,22.043,5.059,0.811
Aug 09 17:57:46 2024,2.981,5.588,2.062,2.753,43.287,26.567,22.043,5.059,0.811
